idindikator;IDTer;nTer;IDVrstaDivljaci;nVrstaDivljaci;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;35;Грлица;00;2011;15483;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;36;Гугутка – кумрија;00;2011;6664;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;37;Сојка – креја;00;2011;485;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;38;Гачац;00;2011;32;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;39;Јастреб кокошар;00;2011;474;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;40;Сива врана;00;2011;916;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;41;Сврака;00;2011;1379;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;42;Велики корморан;00;2011;43;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;43;Сива чапља;00;2011;23;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;01;Јелен европски;00;2013;870;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;02;Јелен лопатар;00;2013;182;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;03;Срна;00;2013;8529;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;04;Муфлон;00;2013;13;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;05;Дивокоза;00;2013;16;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
13040601IND08;RS;РЕПУБЛИКА СРБИЈА;06;Дивља свиња;00;2013;6475;NR;број;РЗС;Извршени одстрел дивљачи;A;Коначан податак
