idindikator;IDTer;nTer;IDVrstaDivljaci;nVrstaDivljaci;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;11;Дивља мачка;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;12;Куна белица;00;2015;33;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;13;Куна златица;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;14;Јазавац;00;2015;71;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;15;Сиви пух;00;2015;3;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;16;Веверица;00;2015;15;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;17;Ондатра;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;18;Нутрија;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;19;Ракунолики пас;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;20;Мрки твор;00;2015;12;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;21;Фазан;00;2015;550;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;22;Пољска јаребица;00;2015;140;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;23;Дивља гуска – лисаста;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;24;Дивља гуска – глоговњ.;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;25;Лиска црна;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;26;Барска кокица;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;27;Дивља патка – глувара;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;28;Дивља пловка – риђоглава;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;29;Д.патка – кржуља;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;30;Д.патка - пупчаница;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;31;Дивља патка – звиждара;00;2015;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;32;Дивљи голуб – гривњаш;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;33;Шумска шљука;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;34;Препелица;00;2015;10;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;35;Грлица;00;2015;10;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;36;Гугутка – кумрија;00;2015;10;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;37;Сојка – креја;00;2015;10;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;38;Гачац;00;2015;20;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;39;Јастреб кокошар;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;40;Сива врана;00;2015;30;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;41;Сврака;00;2015;40;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;42;Велики корморан;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;43;Сива чапља;00;2015;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;01;Јелен европски;00;2017;1;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;02;Јелен лопатар;00;2017;2;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;03;Срна;00;2017;826;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;04;Муфлон;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;05;Дивокоза;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;06;Дивља свиња;00;2017;31;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;07;Зец;00;2017;1542;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;08;Вук;00;2017;7;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;09;Шакал;00;2017;134;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;10;Лисица;00;2017;241;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;11;Дивља мачка;00;2017;35;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;12;Куна белица;00;2017;210;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;13;Куна златица;00;2017;23;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;14;Јазавац;00;2017;68;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;15;Сиви пух;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;16;Веверица;00;2017;12;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;17;Ондатра;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;18;Нутрија;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;19;Ракунолики пас;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;20;Мрки твор;00;2017;33;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;21;Фазан;00;2017;4256;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;22;Пољска јаребица;00;2017;846;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;23;Дивља гуска – лисаста;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;24;Дивља гуска – глоговњ.;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;25;Лиска црна;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;26;Барска кокица;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;27;Дивља патка – глувара;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;28;Дивља пловка – риђоглава;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;29;Д.патка – кржуља;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;30;Д.патка - пупчаница;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;31;Дивља патка – звиждара;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;32;Дивљи голуб – гривњаш;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;33;Шумска шљука;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;34;Препелица;00;2017;50;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;35;Грлица;00;2017;50;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;36;Гугутка – кумрија;00;2017;50;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;37;Сојка – креја;00;2017;40;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;38;Гачац;00;2017;40;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;39;Јастреб кокошар;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;40;Сива врана;00;2017;50;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
